ts_code,name,industry
600000.SH,浦发银行,J66货币金融服务
600009.SH,上海机场,G56航空运输业
600010.SH,包钢股份,C31黑色金属冶炼和压延加工业
600011.SH,华能国际,D44电力、热力生产和供应业
600015.SH,华夏银行,J66货币金融服务
600016.SH,民生银行,J66货币金融服务
600018.SH,上港集团,G55水上运输业
600019.SH,宝钢股份,C31黑色金属冶炼和压延加工业
600023.SH,浙能电力,D44电力、热力生产和供应业
600025.SH,华能水电,D44电力、热力生产和供应业
600026.SH,中远海能,G55水上运输业
600027.SH,华电国际,D44电力、热力生产和供应业
600028.SH,中国石化,B07石油和天然气开采业
600029.SH,南方航空,G56航空运输业
600030.SH,中信证券,J67资本市场服务
600031.SH,三一重工,C35专用设备制造业
600036.SH,招商银行,J66货币金融服务
600039.SH,四川路桥,E48土木工程建筑业
600048.SH,保利发展,K70房地产业
600050.SH,中国联通,I63电信、广播电视和卫星传输服务
600061.SH,国投资本,J67资本市场服务
600066.SH,宇通客车,C36汽车制造业
600085.SH,同仁堂,C27医药制造业
600089.SH,特变电工,C38电气机械和器材制造业
600104.SH,上汽集团,C36汽车制造业
600111.SH,北方稀土,C32有色金属冶炼和压延加工业
600115.SH,中国东航,G56航空运输业
600118.SH,中国卫星,C39计算机、通信和其他电子设备制造业
600150.SH,中国船舶,C37铁路、船舶、航空航天和其他运输设备制造业
600160.SH,巨化股份,C26化学原料和化学制品制造业
600176.SH,中国巨石,C30非金属矿物制品业
600183.SH,生益科技,C39计算机、通信和其他电子设备制造业
600188.SH,兖矿能源,B06煤炭开采和洗选业
600196.SH,复星医药,C27医药制造业
600219.SH,南山铝业,C32有色金属冶炼和压延加工业
600221.SH,海航控股,G56航空运输业
600233.SH,圆通速递,G60邮政业
600276.SH,恒瑞医药,C27医药制造业
600309.SH,万华化学,C26化学原料和化学制品制造业
600346.SH,恒力石化,C26化学原料和化学制品制造业
600362.SH,江西铜业,C32有色金属冶炼和压延加工业
600372.SH,中航机载,C37铁路、船舶、航空航天和其他运输设备制造业
600406.SH,国电南瑞,I65软件和信息技术服务业
600415.SH,小商品城,L72商务服务业
600426.SH,华鲁恒升,C26化学原料和化学制品制造业
600436.SH,片仔癀,C27医药制造业
600438.SH,通威股份,C38电气机械和器材制造业
600460.SH,士兰微,C39计算机、通信和其他电子设备制造业
600482.SH,中国动力,C37铁路、船舶、航空航天和其他运输设备制造业
600489.SH,中金黄金,B09有色金属矿采选业
600515.SH,海南机场,K70房地产业
600519.SH,贵州茅台,C15酒、饮料和精制茶制造业
600522.SH,中天科技,C38电气机械和器材制造业
600547.SH,山东黄金,B09有色金属矿采选业
600549.SH,厦门钨业,C32有色金属冶炼和压延加工业
600570.SH,恒生电子,I65软件和信息技术服务业
600584.SH,长电科技,C39计算机、通信和其他电子设备制造业
600585.SH,海螺水泥,C30非金属矿物制品业
600588.SH,用友网络,I65软件和信息技术服务业
600600.SH,青岛啤酒,C15酒、饮料和精制茶制造业
600660.SH,福耀玻璃,C30非金属矿物制品业
600674.SH,川投能源,D44电力、热力生产和供应业
600690.SH,海尔智家,C38电气机械和器材制造业
600741.SH,华域汽车,C36汽车制造业
600760.SH,中航沈飞,C37铁路、船舶、航空航天和其他运输设备制造业
600795.SH,国电电力,D44电力、热力生产和供应业
600803.SH,新奥股份,D45燃气生产和供应业
600809.SH,山西汾酒,C15酒、饮料和精制茶制造业
600845.SH,宝信软件,I65软件和信息技术服务业
600875.SH,东方电气,C34通用设备制造业
600886.SH,国投电力,D44电力、热力生产和供应业
600887.SH,伊利股份,C14食品制造业
600893.SH,航发动力,C37铁路、船舶、航空航天和其他运输设备制造业
600900.SH,长江电力,D44电力、热力生产和供应业
600905.SH,三峡能源,D44电力、热力生产和供应业
600918.SH,中泰证券,J67资本市场服务
600919.SH,江苏银行,J66货币金融服务
600926.SH,杭州银行,J66货币金融服务
600930.SH,华电新能,D44电力、热力生产和供应业
600938.SH,中国海油,B07石油和天然气开采业
600941.SH,中国移动,I63电信、广播电视和卫星传输服务
600958.SH,东方证券,J67资本市场服务
600989.SH,宝丰能源,C26化学原料和化学制品制造业
600999.SH,招商证券,J67资本市场服务
601006.SH,大秦铁路,G53铁路运输业
601009.SH,南京银行,J66货币金融服务
601012.SH,隆基绿能,C38电气机械和器材制造业
601018.SH,宁波港,G55水上运输业
601021.SH,春秋航空,G56航空运输业
601058.SH,赛轮轮胎,C29橡胶和塑料制品业
601059.SH,信达证券,J67资本市场服务
601066.SH,中信建投,J67资本市场服务
601077.SH,渝农商行,J66货币金融服务
601088.SH,中国神华,B06煤炭开采和洗选业
601100.SH,恒立液压,C34通用设备制造业
601111.SH,中国国航,G56航空运输业
601117.SH,中国化学,E48土木工程建筑业
601127.SH,赛力斯,C36汽车制造业
601136.SH,首创证券,J67资本市场服务
601138.SH,工业富联,C39计算机、通信和其他电子设备制造业
601166.SH,兴业银行,J66货币金融服务
