ts_code,name,bao_code
600000.SH,浦发银行,sh.600000
600009.SH,上海机场,sh.600009
600010.SH,包钢股份,sh.600010
600011.SH,华能国际,sh.600011
600015.SH,华夏银行,sh.600015
600016.SH,民生银行,sh.600016
600018.SH,上港集团,sh.600018
600019.SH,宝钢股份,sh.600019
600023.SH,浙能电力,sh.600023
600025.SH,华能水电,sh.600025
600026.SH,中远海能,sh.600026
600027.SH,华电国际,sh.600027
600028.SH,中国石化,sh.600028
600029.SH,南方航空,sh.600029
600030.SH,中信证券,sh.600030
600031.SH,三一重工,sh.600031
600036.SH,招商银行,sh.600036
600039.SH,四川路桥,sh.600039
600048.SH,保利发展,sh.600048
600050.SH,中国联通,sh.600050
600061.SH,国投资本,sh.600061
600066.SH,宇通客车,sh.600066
600085.SH,同仁堂,sh.600085
600089.SH,特变电工,sh.600089
600104.SH,上汽集团,sh.600104
600111.SH,北方稀土,sh.600111
600115.SH,中国东航,sh.600115
600118.SH,中国卫星,sh.600118
600150.SH,中国船舶,sh.600150
600160.SH,巨化股份,sh.600160
600176.SH,中国巨石,sh.600176
600183.SH,生益科技,sh.600183
600188.SH,兖矿能源,sh.600188
600196.SH,复星医药,sh.600196
600219.SH,南山铝业,sh.600219
600221.SH,海航控股,sh.600221
600233.SH,圆通速递,sh.600233
600276.SH,恒瑞医药,sh.600276
600309.SH,万华化学,sh.600309
600346.SH,恒力石化,sh.600346
600362.SH,江西铜业,sh.600362
600372.SH,中航机载,sh.600372
600406.SH,国电南瑞,sh.600406
600415.SH,小商品城,sh.600415
600426.SH,华鲁恒升,sh.600426
600436.SH,片仔癀,sh.600436
600438.SH,通威股份,sh.600438
600460.SH,士兰微,sh.600460
600482.SH,中国动力,sh.600482
600489.SH,中金黄金,sh.600489
600515.SH,海南机场,sh.600515
600519.SH,贵州茅台,sh.600519
600522.SH,中天科技,sh.600522
600547.SH,山东黄金,sh.600547
600549.SH,厦门钨业,sh.600549
600570.SH,恒生电子,sh.600570
600584.SH,长电科技,sh.600584
600585.SH,海螺水泥,sh.600585
600588.SH,用友网络,sh.600588
600600.SH,青岛啤酒,sh.600600
600660.SH,福耀玻璃,sh.600660
600674.SH,川投能源,sh.600674
600690.SH,海尔智家,sh.600690
600741.SH,华域汽车,sh.600741
600760.SH,中航沈飞,sh.600760
600795.SH,国电电力,sh.600795
600803.SH,新奥股份,sh.600803
600809.SH,山西汾酒,sh.600809
600845.SH,宝信软件,sh.600845
600875.SH,东方电气,sh.600875
600886.SH,国投电力,sh.600886
600887.SH,伊利股份,sh.600887
600893.SH,航发动力,sh.600893
600900.SH,长江电力,sh.600900
600905.SH,三峡能源,sh.600905
600918.SH,中泰证券,sh.600918
600919.SH,江苏银行,sh.600919
600926.SH,杭州银行,sh.600926
600930.SH,华电新能,sh.600930
600938.SH,中国海油,sh.600938
600941.SH,中国移动,sh.600941
600958.SH,东方证券,sh.600958
600989.SH,宝丰能源,sh.600989
600999.SH,招商证券,sh.600999
601006.SH,大秦铁路,sh.601006
601009.SH,南京银行,sh.601009
601012.SH,隆基绿能,sh.601012
601018.SH,宁波港,sh.601018
601021.SH,春秋航空,sh.601021
601058.SH,赛轮轮胎,sh.601058
601059.SH,信达证券,sh.601059
601066.SH,中信建投,sh.601066
601077.SH,渝农商行,sh.601077
601088.SH,中国神华,sh.601088
601100.SH,恒立液压,sh.601100
601111.SH,中国国航,sh.601111
601117.SH,中国化学,sh.601117
601127.SH,赛力斯,sh.601127
601136.SH,首创证券,sh.601136
601138.SH,工业富联,sh.601138
601166.SH,兴业银行,sh.601166
601169.SH,北京银行,sh.601169
601186.SH,中国铁建,sh.601186
601211.SH,国泰海通,sh.601211
601225.SH,陕西煤业,sh.601225
601229.SH,上海银行,sh.601229
601238.SH,广汽集团,sh.601238
601288.SH,农业银行,sh.601288
601318.SH,中国平安,sh.601318
601319.SH,中国人保,sh.601319
601328.SH,交通银行,sh.601328
601336.SH,新华保险,sh.601336
601360.SH,三六零,sh.601360
601377.SH,兴业证券,sh.601377
