ts_code,signal_date,entry_date,entry_price,exit_date,exit_price,signal_pos
600039.SH,2024-09-02,2024-09-03,4.91195085,2026-08-19,8.5,3.0
600036.SH,2024-09-02,2024-09-03,29.1137352,2026-08-19,39.15,3.0
600111.SH,2024-09-02,2024-09-03,16.67310696,2026-08-19,41.07,1.0
600196.SH,2024-09-02,2024-09-03,21.69102705,2026-08-19,23.63,1.0
600009.SH,2024-09-02,2024-09-03,31.23722,2026-08-19,22.95,3.0
600150.SH,2024-09-02,2024-09-03,,2026-08-19,33.14,0.35
600011.SH,2024-09-02,2024-09-03,6.3366017,2026-08-19,6.68,3.0
600016.SH,2024-09-02,2024-09-03,3.16926036,2026-08-19,3.43,3.0
600089.SH,2025-01-14,2025-01-15,11.8560684,2026-08-19,20.31,1.0
600028.SH,2024-09-02,2024-09-03,6.3756937,2026-08-19,5.16,3.0
600160.SH,2024-09-02,2024-09-03,15.115242,2026-08-19,38.8,1.0
600176.SH,2024-09-02,2024-09-03,9.38265768,2026-08-19,40.56,3.0
600118.SH,2024-09-02,2024-09-03,20.6891739,2026-08-19,67.51,0.35
600115.SH,2024-09-02,2024-09-03,3.73,2026-08-19,3.45,3.0
600050.SH,2024-09-02,2024-09-03,4.35493633,2026-08-19,4.17,0.35
600000.SH,2024-09-02,2024-09-03,7.76643316,2026-08-19,9.08,3.0
600030.SH,2024-09-02,2024-09-03,18.11001245,2026-08-19,27.15,3.0
600026.SH,2024-09-02,2024-09-03,13.53828372,2026-08-19,18.32,3.0
600027.SH,2024-09-02,2024-09-03,5.05920486,2026-08-19,4.5,3.0
600188.SH,2024-09-02,2024-09-03,13.3663575,2026-08-19,21.8,3.0
600018.SH,2024-09-02,2024-09-03,5.786057,2026-08-19,5.17,3.0
600015.SH,2024-09-02,2024-09-03,5.67708415,2026-08-19,6.59,3.0
600025.SH,2024-09-02,2024-09-03,10.58927025,2026-08-19,9.76,3.0
600031.SH,2024-09-02,2024-09-03,15.62210944,2026-08-19,18.93,1.0
600048.SH,2024-09-02,2024-09-03,7.61469849,2026-08-19,5.23,3.0
600019.SH,2024-09-02,2024-09-03,5.46502572,2026-08-19,5.91,3.0
600183.SH,2024-09-02,2024-09-03,16.7035825,2026-08-19,125.47,0.35
600219.SH,2024-09-02,2024-09-03,3.21351952,2026-08-19,5.1,1.0
600029.SH,2024-09-02,2024-09-03,5.55,2026-08-19,4.99,3.0
600010.SH,2024-09-02,2024-09-03,1.42,2026-08-19,2.17,3.0
600066.SH,2025-12-11,2025-12-12,31.65170949,2026-08-19,29.83,1.0
600023.SH,2024-09-02,2024-09-03,5.59544232,2026-08-19,4.85,3.0
600104.SH,2024-09-02,2024-09-03,11.77645902,2026-08-19,9.99,1.0
600085.SH,2024-09-02,2024-09-03,32.97159721,2026-08-19,24.06,1.0
600061.SH,2024-09-02,2024-09-03,5.41780092,2026-08-19,6.2,3.0
600221.SH,2024-09-02,2024-09-03,1.05,2026-08-19,1.31,3.0
600372.SH,2024-09-02,2024-09-03,10.70696068,2026-08-19,10.87,0.35
600233.SH,2024-09-02,2024-09-03,14.9564093,2026-08-19,18.68,3.0
600406.SH,2025-09-08,2025-09-09,21.62974792,2026-08-19,23.51,3.0
600362.SH,2024-09-02,2024-09-03,18.64087632,2026-08-19,44.02,1.0
600276.SH,2024-09-02,2024-09-03,43.54440576,2026-08-19,52.66,1.0
600346.SH,2024-09-02,2024-09-03,12.47915275,2026-08-19,18.86,1.0
600426.SH,2024-09-02,2024-09-03,16.33944102,2026-08-19,20.96,1.0
600415.SH,2024-09-02,2024-09-03,7.8890028,2026-08-19,12.01,1.0
600436.SH,2024-09-02,2024-09-03,196.73729517,2026-08-19,127.3,1.0
600438.SH,2024-09-02,2024-09-03,18.29,2026-08-19,12.3,0.35
600519.SH,2024-09-02,2024-09-03,1296.727482,2026-08-19,1307.88,3.0
600547.SH,2024-09-02,2024-09-03,25.39757793,2026-08-19,32.6,1.0
600522.SH,2025-09-05,2025-09-08,16.3004848,2026-08-19,32.02,3.0
600460.SH,2024-09-02,2024-09-03,18.10686186,2026-08-19,34.49,0.35
600482.SH,2024-09-02,2024-09-03,21.7820825,2026-08-19,31.81,0.35
600489.SH,2024-09-02,2024-09-03,12.4118654,2026-08-19,25.19,1.0
600515.SH,2024-09-02,2024-09-03,3.04,2026-08-19,2.79,3.0
600570.SH,2024-09-02,2024-09-03,15.61073076,2026-08-19,,0.35
600584.SH,2024-09-02,2024-09-03,30.7784132,2026-08-19,,0.35
600585.SH,2024-09-02,2024-09-03,19.29533328,2026-08-19,,3.0
600660.SH,2024-09-02,2024-09-03,44.5251225,2026-08-19,,3.0
600674.SH,2024-09-02,2024-09-03,16.7320578,2026-08-19,,3.0
600600.SH,2024-09-02,2024-09-03,52.95893816,2026-08-19,,3.0
600690.SH,2024-09-02,2024-09-03,23.166316,2026-08-19,,0.35
600741.SH,2024-09-02,2024-09-03,13.3784084,2026-08-19,,1.0
600795.SH,2024-09-02,2024-09-03,4.9357944,2026-08-19,,3.0
600803.SH,2024-09-02,2024-09-03,15.8199558,2026-08-19,,3.0
600893.SH,2024-09-02,2024-09-03,34.5342419,2026-08-19,,0.35
600809.SH,2024-09-02,2024-09-03,153.91823157,2026-08-19,,3.0
600845.SH,2024-09-02,2024-09-03,27.9510974,2026-08-19,,0.35
600875.SH,2024-09-02,2024-09-03,12.80815236,2026-08-19,,1.0
600886.SH,2024-09-02,2024-09-03,14.84486784,2026-08-19,,3.0
600918.SH,2024-09-02,2024-09-03,5.59030248,2026-08-19,,3.0
600930.SH,2025-11-28,2025-12-01,6.50649482,2026-08-19,,1.0
600919.SH,2024-09-02,2024-09-03,7.08541568,2026-08-19,,3.0
600926.SH,2024-09-02,2024-09-03,11.72878784,2026-08-19,,3.0
600941.SH,2024-09-02,2024-09-03,96.4845341,2026-08-19,,0.35
600999.SH,2024-09-02,2024-09-03,13.75605504,2026-08-19,,3.0
601006.SH,2024-09-02,2024-09-03,5.62901688,2026-08-19,,3.0
600989.SH,2024-12-23,2024-12-24,14.77449195,2026-08-19,,1.0
601009.SH,2024-09-02,2024-09-03,9.24287007,2026-08-19,,3.0
600958.SH,2024-09-02,2024-09-03,7.9016498,2026-08-19,,3.0
601077.SH,2024-09-02,2024-09-03,4.69064794,2026-08-19,,3.0
601058.SH,2024-09-02,2024-09-03,12.084654,2026-08-19,,1.0
601018.SH,2024-09-02,2024-09-03,3.17842018,2026-08-19,,3.0
