version,core,sat,n_hold_rule,pick,exit,combo,hs300,excess_add,max_dd,avg_hold_active,avg_hold
Baseline,70%,30%,全部启动,全部启动(原仓位权重),当前退出,0.4285386190674578,0.4520925350634375,-0.0235539159959796,-0.1482520109297956,37.13953488372093,37.13953488372093
Top5启动,70%,30%,Top5启动,综合分等权,当前退出,0.1730367511499484,0.4520925350634377,-0.2790557839134893,-0.17917753247022,5.0,5.0
Top10启动,70%,30%,Top10启动,综合分等权,当前退出,0.1983250173818593,0.4520925350634377,-0.2537675176815783,-0.1703026943151752,10.0,10.0
Top15启动,70%,30%,Top15启动,综合分等权,当前退出,0.3108180488452834,0.4520925350634377,-0.1412744862181543,-0.1608493202980766,15.0,15.0
Top20启动,70%,30%,Top20启动,综合分等权,当前退出,0.353817608609642,0.4520925350634377,-0.0982749264537956,-0.1583549681470984,19.892177589852007,19.892177589852007
Top30启动,70%,30%,Top30启动,综合分等权,当前退出,0.3622436349774758,0.4520925350634377,-0.0898489000859619,-0.1620873862985742,27.775898520084567,27.775898520084567
全部启动,70%,30%,全部启动,综合分等权,当前退出,0.4291444328308946,0.4520925350634377,-0.022948102232543,-0.1485958891932828,37.141649048625794,37.141649048625794
FZQD-Top5启动,70%,30%,Top5启动,按FZQD排序,当前退出,0.1701488020463928,0.4520925350634377,-0.2819437330170449,-0.1942438386170552,5.0,5.0
FZQD-Top10启动,70%,30%,Top10启动,按FZQD排序,当前退出,0.1844214655517382,0.4520925350634377,-0.2676710695116995,-0.1803565813934734,10.0,10.0
FZQD-Top15启动,70%,30%,Top15启动,按FZQD排序,当前退出,0.2391436268196252,0.4520925350634377,-0.2129489082438125,-0.1654258482796584,15.0,15.0
FZQD-Top20启动,70%,30%,Top20启动,按FZQD排序,当前退出,0.2875973548636135,0.4520925350634377,-0.1644951801998242,-0.1594211119280819,19.892177589852007,19.892177589852007
FZQD-Top30启动,70%,30%,Top30启动,按FZQD排序,当前退出,0.3653432097878586,0.4520925350634377,-0.0867493252755791,-0.1548911176918868,27.775898520084567,27.775898520084567
FZQD-全部启动,70%,30%,全部启动,按FZQD排序,当前退出,0.4291444328308946,0.4520925350634377,-0.022948102232543,-0.1485958891932828,37.141649048625794,37.141649048625794
吸筹强度-Top5启动,70%,30%,Top5启动,按吸筹强度排序,当前退出,0.3506791576102976,0.4520925350634377,-0.10141337745314,-0.1454802601313137,5.0,5.0
吸筹强度-Top10启动,70%,30%,Top10启动,按吸筹强度排序,当前退出,0.3690090286380574,0.4520925350634377,-0.0830835064253803,-0.1441582234616454,10.0,10.0
吸筹强度-Top15启动,70%,30%,Top15启动,按吸筹强度排序,当前退出,0.3682305214037236,0.4520925350634377,-0.0838620136597141,-0.1368461987097537,15.0,15.0
吸筹强度-Top20启动,70%,30%,Top20启动,按吸筹强度排序,当前退出,0.3893211059336028,0.4520925350634377,-0.0627714291298349,-0.1405791631106061,19.892177589852007,19.892177589852007
吸筹强度-Top30启动,70%,30%,Top30启动,按吸筹强度排序,当前退出,0.433905615231946,0.4520925350634377,-0.0181869198314916,-0.1452347215099286,27.775898520084567,27.775898520084567
吸筹强度-全部启动,70%,30%,全部启动,按吸筹强度排序,当前退出,0.4291444328308946,0.4520925350634377,-0.022948102232543,-0.1485958891932828,37.141649048625794,37.141649048625794
L2JBL-Top5启动,70%,30%,Top5启动,按L2JBL排序,当前退出,0.0195331617371063,0.4520925350634377,-0.4325593733263313,-0.2469548006083115,5.0,5.0
L2JBL-Top10启动,70%,30%,Top10启动,按L2JBL排序,当前退出,0.0881324258587514,0.4520925350634377,-0.3639601092046862,-0.1910415977532275,10.0,10.0
L2JBL-Top15启动,70%,30%,Top15启动,按L2JBL排序,当前退出,0.1589297972087522,0.4520925350634377,-0.2931627378546855,-0.1795970071765172,15.0,15.0
L2JBL-Top20启动,70%,30%,Top20启动,按L2JBL排序,当前退出,0.2019482539001624,0.4520925350634377,-0.2501442811632752,-0.1694500863587028,19.892177589852007,19.892177589852007
L2JBL-Top30启动,70%,30%,Top30启动,按L2JBL排序,当前退出,0.3227120708034425,0.4520925350634377,-0.1293804642599951,-0.1571357330346202,27.775898520084567,27.775898520084567
L2JBL-全部启动,70%,30%,全部启动,按L2JBL排序,当前退出,0.4291444328308946,0.4520925350634377,-0.022948102232543,-0.1485958891932828,37.141649048625794,37.141649048625794
启动强度-Top5启动,70%,30%,Top5启动,按启动强度排序,当前退出,0.3251755023516196,0.4520925350634377,-0.1269170327118181,-0.1775645502634834,5.0,5.0
启动强度-Top10启动,70%,30%,Top10启动,按启动强度排序,当前退出,0.3810507941942245,0.4520925350634377,-0.0710417408692132,-0.172449856367689,10.0,10.0
启动强度-Top15启动,70%,30%,Top15启动,按启动强度排序,当前退出,0.3805578532268989,0.4520925350634377,-0.0715346818365387,-0.1737374465299909,15.0,15.0
