date,signal,close,env_level,l2_flow,fwd_20,fwd_60
2010-05-14,f_alert,2868.02,0,-0.1124,-3.8%,-0.6%
2010-05-19,f_alert,2762.17,0,-0.0253,0.7%,5.8%
2011-01-04,f_alert,3189.68,2,0.1292,-3.5%,4.2%
2011-01-05,f_alert,3175.66,2,-0.2345,-4.2%,5.6%
2011-01-26,f_alert,2978.43,2,-0.0275,8.9%,7.2%
2011-05-11,f_alert,3145.09,2,-0.0262,-6.1%,-5.9%
2011-05-13,f_alert,3128.09,2,-0.0736,-5.7%,-10.7%
2011-05-18,f_alert,3139.38,2,0.127,-7.1%,-8.7%
2011-05-19,f_alert,3120.64,2,-0.0339,-7.3%,-7.9%
2011-05-31,f_alert,3001.56,2,0.2025,-0.0%,-6.4%
2011-06-01,f_alert,3004.17,2,0.173,1.3%,-3.3%
2011-06-03,f_alert,2986.35,2,0.0494,4.5%,-4.5%
2012-01-09,f_alert,2368.57,2,0.4046,6.9%,8.5%
2012-04-09,f_alert,2495.15,2,0.052,6.5%,-2.6%
2012-06-13,f_alert,2580.64,2,0.2943,-5.1%,-14.1%
2012-06-14,f_alert,2560.42,2,0.0677,-4.3%,-9.5%
2012-07-02,f_alert,2465.24,2,0.0955,-5.3%,-10.1%
2012-07-03,f_alert,2468.72,2,0.0883,-5.5%,-10.5%
2012-07-12,f_alert,2449.18,2,0.1204,-1.5%,-6.0%
2012-07-13,f_alert,2450.63,2,0.0723,-2.1%,-6.0%
2012-07-17,f_alert,2414.2,2,-0.0744,-2.4%,-4.8%
2012-12-05,f_alert,2207.88,2,1.0847,14.9%,17.4%
2012-12-06,f_alert,2203.6,2,-0.079,14.6%,16.0%
2013-03-20,f_alert,2610.17,3,0.5281,-2.9%,-16.8%
2013-03-21,f_alert,2614.99,3,-0.0344,-3.2%,-17.2%
2013-03-22,f_alert,2618.31,3,-0.0493,-6.4%,-17.2%
2013-04-09,f_alert,2489.43,2,0.0543,2.1%,-10.7%
2013-04-10,f_alert,2485.31,2,0.0543,1.8%,-6.4%
2013-11-15,f_alert,2350.73,2,0.4819,2.4%,-1.7%
2013-11-18,f_alert,2428.9,2,0.8918,-2.5%,-6.0%
2013-11-19,f_alert,2412.16,2,-0.1199,-2.3%,-4.3%
2013-12-27,f_alert,2303.48,2,0.0646,-3.8%,-6.8%
2014-01-22,f_alert,2243.8,2,0.2206,-3.6%,-2.4%
2014-03-21,f_alert,2158.8,2,0.5045,1.3%,-1.5%
2016-01-19,f_alert,3223.12,0,0.0362,-4.2%,-1.3%
2016-01-20,f_alert,3174.38,0,-0.2743,-2.0%,-0.4%
2016-01-22,f_alert,3113.46,0,-0.0594,-5.3%,1.6%
2016-01-25,f_alert,3128.89,0,-0.0893,-8.0%,1.6%
2016-05-16,f_alert,3095.31,2,0.0626,0.7%,4.8%
2016-05-17,f_alert,3086.03,2,0.0094,0.3%,4.8%
2016-05-18,f_alert,3068.04,2,0.0403,1.4%,7.4%
2016-05-26,f_alert,3064.21,2,0.0373,1.8%,8.9%
2016-05-27,f_alert,3062.5,2,-0.0414,2.4%,9.1%
2016-05-31,f_alert,3169.56,2,0.5815,-0.5%,4.4%
2016-12-22,f_alert,3335.67,2,-0.2205,0.6%,4.6%
2016-12-27,f_alert,3316.39,2,-0.0643,1.8%,4.5%
2017-01-18,f_alert,3339.36,2,0.0539,4.5%,3.8%
2017-01-19,f_alert,3329.29,2,0.0005,4.3%,3.1%
2017-04-26,f_alert,3445.18,2,0.4312,1.2%,8.7%
2017-04-27,f_alert,3446.72,2,-0.1039,1.0%,7.9%
2017-05-02,f_alert,3426.58,2,-0.0255,2.1%,8.3%
2017-05-12,f_alert,3385.38,2,0.3986,5.8%,10.2%
2017-05-15,f_alert,3399.19,2,0.2245,4.0%,9.8%
2018-02-22,f_alert,4052.73,0,0.1633,-0.8%,-4.9%
2019-05-13,f_alert,3668.72,0,-0.4236,1.4%,-0.9%
2019-05-21,f_alert,3666.78,0,0.0609,1.3%,0.4%
2019-05-27,f_alert,3637.2,2,-0.0319,4.5%,4.1%
2019-05-28,f_alert,3672.26,2,0.0477,3.3%,3.0%
2019-05-29,f_alert,3663.91,2,0.0755,4.7%,3.5%
2019-08-12,f_alert,3699.1,2,0.3706,7.4%,5.5%
2019-12-05,f_alert,3879.36,2,0.3239,6.8%,3.0%
2020-03-24,f_alert,3625.11,0,0.2435,5.9%,13.2%
2020-10-09,f_alert,4681.14,2,0.219,4.4%,12.5%
2021-03-26,f_alert,5037.99,0,0.2452,0.8%,4.0%
2021-03-29,f_alert,5046.88,0,-0.1841,0.9%,4.1%
2021-07-12,f_alert,5132.71,2,0.1582,-2.9%,-3.8%
2021-07-13,f_alert,5142.1,2,-0.3586,-1.9%,-4.4%
2021-07-14,f_alert,5083.08,2,-0.8301,-1.3%,-3.0%
2021-07-15,f_alert,5151.46,2,0.1154,-3.5%,-5.4%
2021-11-11,f_alert,4898.65,2,0.4893,3.7%,-6.1%
2021-11-12,f_alert,4888.37,2,-0.173,3.4%,-6.9%
2021-11-15,f_alert,4882.38,2,-0.2052,4.1%,-5.8%
2021-11-16,f_alert,4883.32,2,-0.1644,3.4%,-5.4%
