ts_code,signal_date,entry_date,entry_price,exit_date,exit_price,signal_pos
600036.SH,2011-01-04,2011-01-05,6.69175953,2011-01-18,6.55782131,1.0
600036.SH,2011-05-27,2011-05-30,7.10387713,2011-07-22,6.67103508,1.0
600036.SH,2014-09-24,2014-09-25,6.6312864,2014-12-03,7.94509056,1.0
600036.SH,2015-03-09,2015-03-10,9.02228544,2015-04-20,11.6436672,1.0
600036.SH,2017-09-12,2017-09-13,18.37331464,2018-05-31,19.72838134,1.0
600036.SH,2019-09-04,2019-09-05,25.8122058,2020-03-20,21.958428,1.0
600036.SH,2021-12-06,2021-12-07,40.73516496,2022-03-10,35.5234944,1.0
600036.SH,2025-09-23,2025-09-24,39.3776485,2026-01-15,38.05873449,1.0
600039.SH,2024-05-06,2024-05-07,6.16015162,2024-07-22,6.3864407,1.0
600039.SH,2025-01-24,2025-01-27,6.44221506,2025-10-14,7.85323224,1.0
600015.SH,2012-03-22,2012-03-23,3.0354611,2012-05-14,3.02706812,1.0
600015.SH,2014-09-24,2014-09-25,3.5208445,2014-12-03,4.63094606,1.0
600015.SH,2015-03-09,2015-03-10,4.90847145,2015-04-14,6.12626943,1.0
600015.SH,2016-12-05,2016-12-06,6.15009564,2017-05-09,5.36080688,1.0
600015.SH,2020-10-12,2020-10-13,4.37109883,2020-11-04,4.3500502,1.0
600015.SH,2021-11-11,2021-11-12,4.12318959,2021-11-17,4.08630954,1.0
600015.SH,2022-08-09,2022-08-10,4.02977792,2022-11-02,3.80152878,1.0
600015.SH,2025-02-26,2025-02-27,6.54176764,2025-10-14,6.19485701,1.0
600015.SH,2026-07-02,2026-07-03,6.29256694,2026-08-17,6.59,1.0
600085.SH,2014-11-11,2014-11-12,16.1327038,2014-12-09,19.369575,1.0
600085.SH,2017-12-05,2017-12-06,29.14279291,2018-03-02,28.29781915,1.0
600085.SH,2025-03-03,2025-03-04,35.2995171,2025-03-13,34.932819,1.0
600085.SH,2025-09-08,2025-09-09,34.93737844,2025-09-12,34.5851674,1.0
600089.SH,2025-01-14,2025-01-15,11.8560684,2025-02-05,11.54761784,1.0
600188.SH,2019-06-10,2019-06-11,2.9578827,2019-08-08,2.7384552,1.0
600188.SH,2019-11-25,2019-11-26,3.21998124,2020-03-02,2.88922788,1.0
600188.SH,2024-12-03,2024-12-04,13.74621825,2025-02-05,12.62788185,1.0
600031.SH,2014-11-24,2014-11-25,5.3400576,2014-12-02,5.55699744,1.0
600031.SH,2014-12-18,2014-12-19,7.24245312,2014-12-23,7.926648,1.0
600031.SH,2016-10-28,2016-10-31,5.01837414,2016-11-15,5.74847205,1.0
600031.SH,2016-11-25,2016-11-28,5.55545766,2017-02-13,6.15967662,1.0
600031.SH,2017-02-22,2017-02-23,6.26877171,2017-06-27,6.93173418,1.0
600031.SH,2018-03-29,2018-03-30,6.64640976,2018-11-26,6.6883206,1.0
600031.SH,2019-03-29,2019-04-01,11.16435054,2019-04-15,11.70456105,1.0
600031.SH,2019-06-28,2019-07-01,11.4044441,2020-01-03,15.63461172,1.0
600031.SH,2020-07-01,2020-07-02,16.94624022,2020-08-05,19.42802085,1.0
600031.SH,2020-11-20,2020-11-23,25.9040278,2020-11-25,26.60774795,1.0
600031.SH,2020-12-11,2020-12-14,27.71232135,2020-12-16,27.970649,1.0
600031.SH,2020-12-30,2020-12-31,30.7320825,2021-01-05,30.74099035,1.0
600031.SH,2023-04-17,2023-04-18,16.22068056,2023-05-31,14.06227979,1.0
600031.SH,2024-05-16,2024-05-17,16.02665467,2024-10-11,17.6239616,1.0
600031.SH,2024-12-23,2024-12-24,15.62210944,2026-05-20,19.13647932,1.0
600050.SH,2011-05-27,2011-05-30,4.34069316,2011-06-10,4.33291414,1.0
600050.SH,2017-03-16,2017-03-17,6.3772181,2017-12-14,5.827745,1.0
600050.SH,2019-11-19,2019-11-20,4.9305789,2020-02-10,4.48387688,1.0
600050.SH,2020-10-09,2020-10-12,4.20605415,2020-11-03,4.01836005,1.0
600050.SH,2024-06-14,2024-06-17,4.1886585,2024-10-11,5.03216185,1.0
600104.SH,2019-11-26,2019-11-27,19.11287464,2019-11-29,18.8109206,1.0
600104.SH,2022-09-06,2022-09-07,14.19034162,2022-09-20,13.91354692,1.0
600104.SH,2024-06-03,2024-06-04,13.52047144,2024-07-10,12.6518378,1.0
600016.SH,2011-06-13,2011-06-14,2.08213334,2012-07-25,2.2098,1.0
600016.SH,2014-09-24,2014-09-25,3.0976848,2014-12-03,3.97290368,1.0
600016.SH,2016-05-31,2016-06-01,4.6054632,2017-02-28,4.70199328,1.0
600016.SH,2020-10-12,2020-10-13,3.94592433,2020-10-28,3.90918388,1.0
600016.SH,2025-04-01,2025-04-02,3.71224436,2025-07-14,5.1164286,1.0
600010.SH,2014-11-24,2014-11-25,2.16621042,2014-12-01,2.21560284,1.0
600010.SH,2014-12-18,2014-12-19,3.08349822,2015-01-27,3.66209514,1.0
600010.SH,2015-02-02,2015-02-03,3.75382392,2015-02-09,3.3163482,1.0
600010.SH,2015-03-06,2015-03-09,3.61270272,2015-03-20,4.41709356,1.0
600010.SH,2015-05-22,2015-05-25,4.8686814,2015-05-27,5.01685866,1.0
600010.SH,2015-06-11,2015-06-12,5.05919502,2015-06-16,4.92512988,1.0
600010.SH,2021-01-18,2021-01-19,1.15075712,2021-02-26,1.3888448,1.0
600010.SH,2025-12-17,2025-12-18,2.34,2026-06-18,2.39,1.0
600030.SH,2017-11-07,2017-11-08,13.6766376,2018-01-26,17.4314679,1.0
600030.SH,2019-10-25,2019-10-28,17.92822818,2020-02-25,19.91935053,1.0
600030.SH,2020-10-29,2020-10-30,24.23996832,2020-12-17,23.54645424,1.0
600030.SH,2023-03-17,2023-03-20,18.44037216,2023-12-19,19.08425547,1.0
600023.SH,2017-05-08,2017-05-09,3.73571885,2017-11-02,3.79855448,1.0
600023.SH,2018-12-03,2018-12-04,3.3876495,2018-12-17,3.3581275,1.0
600023.SH,2020-11-02,2020-11-03,2.96652882,2021-01-08,2.87737085,1.0
600023.SH,2023-04-10,2023-04-11,3.23386125,2023-04-28,3.7943972,1.0
600023.SH,2023-08-14,2023-08-15,4.09622425,2023-09-28,3.66504275,1.0
600023.SH,2025-09-08,2025-09-09,4.8373435,2025-10-09,4.69645,1.0
600011.SH,2010-03-17,2010-03-18,4.25498875,2011-01-05,3.39350453,1.0
600011.SH,2012-03-09,2012-03-12,3.43044224,2013-06-06,4.04134752,1.0
600011.SH,2017-08-17,2017-08-18,5.68553096,2017-09-06,5.6774778,1.0
600011.SH,2024-11-29,2024-12-02,6.3366017,2024-12-30,6.25442675,1.0
600011.SH,2025-10-09,2025-10-10,6.8689255,2026-02-10,6.59416848,1.0
600111.SH,2014-10-28,2014-10-29,13.4870589,2014-12-05,15.99954174,1.0
600111.SH,2025-09-11,2025-09-12,50.510206,2025-10-16,53.2226988,1.0
600111.SH,2025-10-24,2025-10-27,51.158412,2026-06-12,48.2,1.0
600196.SH,2023-02-14,2023-02-15,32.33632765,2023-03-28,30.57511039,1.0
600009.SH,2010-12-30,2010-12-31,10.00378962,2011-07-04,10.4189184,1.0
600009.SH,2019-10-17,2019-10-18,76.76514092,2019-11-29,73.10920228,1.0
600009.SH,2023-03-30,2023-03-31,54.3329798,2023-04-27,51.32629711,1.0
600009.SH,2025-01-14,2025-01-15,32.258265,2025-02-21,31.654943,1.0
600009.SH,2025-12-18,2025-12-19,32.65824735,2026-02-13,30.6708699,1.0
600025.SH,2019-03-19,2019-03-20,3.03378984,2019-04-03,3.48563088,1.0
600025.SH,2019-04-16,2019-04-17,3.34846485,2019-12-13,3.58744815,1.0
600025.SH,2020-12-25,2020-12-28,4.00234689,2021-03-16,4.76968137,1.0
600025.SH,2022-09-02,2022-09-05,6.84742165,2022-11-15,5.95587816,1.0
600025.SH,2025-09-02,2025-09-03,9.0935586,2025-09-23,8.98600038,1.0
600025.SH,2026-05-19,2026-05-20,9.6802398,2026-07-06,9.17,1.0
600066.SH,2025-12-11,2025-12-12,31.65170949,2026-04-07,34.4142805,1.0
600027.SH,2022-09-19,2022-09-20,5.55667516,2023-09-05,4.3881117,1.0
600027.SH,2024-03-25,2024-03-26,5.88365181,2024-04-15,6.68067618,1.0
600219.SH,2013-04-09,2013-04-10,1.6265064,2013-05-09,1.5932602,1.0
