sample,hold_n,n_events,n_complete,mean_ret,median_ret,mean_mfe,median_mfe,mean_mae,median_mae,win_rate,beat_hs300,mean_excess_hs300,median_excess_hs300,t_excess_hs300,p_excess_hs300,mean_excess_unselected,t_excess_unselected,p_excess_unselected,mean_hs300_ret,mean_uni_ew_ret,mean_unselected_ew_ret,mean_excess_mfe,mean_hs300_mfe,mean_hs300_mae,mean_excess_mae,start,end,note
full,5,955,955,0.004883038984338342,0.002448979591836764,0.04155848856895875,0.02820355610055203,-0.030934379701143447,-0.02148437500000011,0.5141361256544502,0.49214659685863876,0.0024423601821601353,-0.000589735160981153,1.6462477767600119,0.09971275650184029,-0.00015581052017552718,-0.10554177525363619,0.9159459232139417,0.002440678802178206,0.005032387198784457,0.005038849504513868,0.023896321349713485,0.017662167219245267,-0.016292334258272687,-0.014642045442870757,2010-09-27,2026-07-02,持有期超额 = 个股(exit_close/entry_open-1) − 沪深300(exit_close/entry_open-1)。MFE/MAE 是路径极值，不与持有期超额混用。事件窗口重叠，t 统计量为描述性，不是独立样本。
full,10,954,954,0.009387370669715643,0.0019021651622065372,0.061676910423848895,0.04069984176790842,-0.043743545388958395,-0.03075628259838792,0.5115303983228512,0.48218029350104824,0.00481837325283489,-0.0020374717146152688,2.0693373794350918,0.03851443830756046,0.0010729008372524708,0.46271151118516934,0.6435711660887314,0.004568997416880752,0.00830573217576617,0.008314469832463173,0.034103636496740856,0.02757327392710804,-0.024284533339724974,-0.019459012049233424,2010-09-27,2026-07-02,持有期超额 = 个股(exit_close/entry_open-1) − 沪深300(exit_close/entry_open-1)。MFE/MAE 是路径极值，不与持有期超额混用。事件窗口重叠，t 统计量为描述性，不是独立样本。
full,15,955,955,0.012987339432929587,0.002557544757033181,0.07885140999022143,0.053497040122780115,-0.0533690764210036,-0.038211382113821135,0.518324607329843,0.5036649214659686,0.007339307267145805,0.0009177822732546748,2.5898497926314454,0.00960178180855911,0.0010164537214997003,0.36641873058987584,0.714052645172748,0.005648032165783782,0.011979917522796325,0.011970885711429888,0.042841308517586024,0.03601010147263541,-0.030313253562138327,-0.023055822858865274,2010-09-27,2026-07-02,持有期超额 = 个股(exit_close/entry_open-1) − 沪深300(exit_close/entry_open-1)。MFE/MAE 是路径极值，不与持有期超额混用。事件窗口重叠，t 统计量为描述性，不是独立样本。
full,20,955,955,0.016406888873918783,0.00324324324324321,0.0924447443833345,0.059902200488997526,-0.06164970452670001,-0.045454545454545414,0.5172774869109947,0.48586387434554973,0.008069031497676718,-0.0024051475515975973,2.5005409268126204,0.01240038041329639,-0.0014733107787840859,-0.4658951555379238,0.6412905489370899,0.008337857376242062,0.017824947302081395,0.017880199652702867,0.04905858505878038,0.04338615932455413,-0.035701151539649256,-0.025948552987050743,2010-09-27,2026-07-02,持有期超额 = 个股(exit_close/entry_open-1) − 沪深300(exit_close/entry_open-1)。MFE/MAE 是路径极值，不与持有期超额混用。事件窗口重叠，t 统计量为描述性，不是独立样本。
full,30,955,955,0.020871675153673403,0.003735442759833063,0.11761986511593744,0.07361963190184051,-0.07607693316247936,-0.05388872706087955,0.518324607329843,0.47853403141361256,0.008395329639912082,-0.005192820168107293,2.045429302497889,0.04081255252557978,-0.00598772104910436,-1.4983734298258133,0.13403625568914132,0.012476345513761327,0.026738742280145257,0.026859396202777767,0.060706089940958254,0.05691377517497917,-0.04423214813728878,-0.031844785025190586,2010-09-27,2026-07-02,持有期超额 = 个股(exit_close/entry_open-1) − 沪深300(exit_close/entry_open-1)。MFE/MAE 是路径极值，不与持有期超额混用。事件窗口重叠，t 统计量为描述性，不是独立样本。
full,40,954,954,0.028438642773287687,0.010783629810487083,0.1411923452742366,0.08831742852465652,-0.0870070467287615,-0.06476964092950355,0.5366876310272537,0.5010482180293501,0.011703136874577651,0.0001717353000308397,2.481941456376324,0.013066874148398836,-0.007233609002239249,-1.573834923447233,0.11552561791243585,0.016735505898710038,0.03550331549875398,0.03567225177552694,0.07366002144890854,0.06753232382532807,-0.0513296045376945,-0.035677442191067,2010-09-27,2026-06-16,持有期超额 = 个股(exit_close/entry_open-1) − 沪深300(exit_close/entry_open-1)。MFE/MAE 是路径极值，不与持有期超额混用。事件窗口重叠，t 统计量为描述性，不是独立样本。
full,60,948,948,0.04646497775888812,0.00996523028243168,0.1911805953471463,0.12079406164279727,-0.10275376636048605,-0.0812343001191062,0.5327004219409283,0.4883966244725738,0.017658276777418665,-0.0034765422299564697,2.9822440201475455,0.0028614382596066205,-0.011038416299737364,-1.8940610318209072,0.058216909349918924,0.028806700981469452,0.05729184220860455,0.05750339405862548,0.09695540027009207,0.09422519507705421,-0.06447057700929268,-0.03828318935119338,2010-09-27,2026-05-19,持有期超额 = 个股(exit_close/entry_open-1) − 沪深300(exit_close/entry_open-1)。MFE/MAE 是路径极值，不与持有期超额混用。事件窗口重叠，t 统计量为描述性，不是独立样本。
train,5,547,547,0.0052805651492885,0.0046465316959840575,0.04192898577994266,0.02944785276073625,-0.031159947779878298,-0.021430727437367847,0.5319926873857403,0.4936014625228519,0.0021216041078677794,-0.0003239976156059754,1.2007200551445678,0.22985981191475338,-0.0006811211682314338,-0.38405761997651455,0.7009357415205728,0.00315896104142072,0.005949789868623051,0.005961686317519932,0.022513028771824373,0.01941595700811829,-0.017413441471558603,-0.013746506308319695,2010-09-27,2020-12-31,持有期超额 = 个股(exit_close/entry_open-1) − 沪深300(exit_close/entry_open-1)。MFE/MAE 是路径极值，不与持有期超额混用。事件窗口重叠，t 统计量为描述性，不是独立样本。
train,10,547,547,0.011328159156441428,0.003401360544217802,0.06278864524418513,0.04095563139931735,-0.043953014026912235,-0.03106009453072245,0.5246800731261426,0.4826325411334552,0.0022202218502384526,-0.0015855349636608729,0.8380160903929439,0.4020216667243327,-0.0012067489554521051,-0.4504261351858403,0.6524032035957923,0.009107937306202976,0.01248907638684935,0.012534908111893535,0.03062580938918835,0.03216283585499678,-0.025554425313914487,-0.018398588712997745,2010-09-27,2020-12-31,持有期超额 = 个股(exit_close/entry_open-1) − 沪深300(exit_close/entry_open-1)。MFE/MAE 是路径极值，不与持有期超额混用。事件窗口重叠，t 统计量为描述性，不是独立样本。
train,15,547,547,0.013630727850446,0.002466367713004569,0.07981673615831723,0.055570689185508115,-0.054216550884293654,-0.03825136612021851,0.5118829981718465,0.48811700182815354,0.0027825887300329173,-0.0009637004077274192,0.8218605093385645,0.4111562908125225,-0.002343792223095552,-0.7104829836327639,0.4774046794536699,0.010848139120413084,0.015943667569673945,0.01597452007354155,0.03681549173477113,0.0430012444235461,-0.03184384475402364,-0.022372706130270023,2010-09-27,2020-12-31,持有期超额 = 个股(exit_close/entry_open-1) − 沪深300(exit_close/entry_open-1)。MFE/MAE 是路径极值，不与持有期超额混用。事件窗口重叠，t 统计量为描述性，不是独立样本。
