sample,label,ret_col,start,end,n,gross_return,net_return,hs300_return,excess_hs300,max_drawdown,avg_turnover,avg_hold,cost_drag,t_vs_hs300,p_vs_hs300,t_vs_unselected,p_vs_unselected,t_vs_uni,p_vs_uni,mean_daily_vs_hs300,mean_daily_vs_unselected,mean_daily_vs_uni,sharpe_net,verdict_style,slippage,commission,stamp_tax
full,slip_0.0000,net_ret,2010-07-01,2026-08-17,3918,5.460323142390231,4.234737159660411,0.876866525129345,3.357870634531066,-0.7051494051831877,0.06715590173787231,11.228177641653906,1.22558598272982,1.5912766112844514,0.1115473380438916,-1.4225052150575652,0.1548796386532577,-1.396547499520253,0.1625496873321326,0.0002876695384069445,-0.0002549813720178816,-0.0002489391238762452,0.5664064840886548,相对沪深300或未入选等权未同时达到显著正超额。,0.0,0.0003,0.001
train,slip_0.0000,net_ret,2010-07-01,2020-12-31,2556,1.89076258768337,1.5042125581276897,1.0630015941753053,0.44121096395238446,-0.7051494051831877,0.07026397188704676,8.786776212832551,0.3865500295556803,0.4859043324092636,0.627034996545822,-1.69459266773736,0.09015271897485456,-1.6645538595385185,0.09600179721968545,0.00011716038138386406,-0.00039656204002900034,-0.0003889803497194243,0.47497581166773034,相对沪深300或未入选等权未同时达到显著正超额。,0.0,0.0003,0.001
test,slip_0.0000,net_ret,2021-01-04,2026-08-17,1362,1.2033378494590727,1.061099833987297,-0.09997118106984582,1.1610710150571428,-0.22899953417141672,0.061323135731051574,15.809838472834068,0.14223801547177573,2.1793238608485823,0.029307617873236682,0.050816254783382836,0.9594719381673226,0.052199830415472735,0.9583694680598771,0.0006076558859480559,1.0716269271706788e-05,1.386952021712178e-05,0.855221717063195,策略相对市场基准存在超额，但暂不能区分选股能力与风格暴露。,0.0,0.0003,0.001
full,slip_0.0005,net_ret,2010-07-01,2026-08-17,3918,5.460323142390231,3.5897661695962997,0.876866525129345,2.7128996444669546,-0.7066009883977575,0.06715590173787231,11.228177641653906,1.8705569727939313,1.4032428308957332,0.16054443946625904,-1.6069902923604487,0.10805649764586657,-1.5846839602731582,0.11303815796995088,0.0002540915875380084,-0.0002885593228868178,-0.00028251707474518127,0.5309660913327864,相对沪深300或未入选等权未同时达到显著正超额。,0.0005,0.0003,0.001
train,slip_0.0005,net_ret,2010-07-01,2020-12-31,2556,1.89076258768337,1.2892545142463194,1.0630015941753053,0.22625292007101416,-0.7066009883977575,0.07026397188704676,8.786776212832551,0.6015080734370506,0.33337075503585817,0.7388544358939244,-1.8422835991394029,0.06543367751400841,-1.8145158600403515,0.06959834324133274,8.202839544034072e-05,-0.0004316940259725236,-0.00042411233566294756,0.44162416145714195,相对沪深300或未入选等权未同时达到显著正超额。,0.0005,0.0003,0.001
test,slip_0.0005,net_ret,2021-01-04,2026-08-17,1362,1.2033378494590727,0.9769439502871924,-0.09997118106984582,1.0769151313570382,-0.23238013716376926,0.061323135731051574,15.809838472834068,0.22639389917188035,2.069168520722546,0.03853027559478076,-0.06090073169807561,0.9514382667186106,-0.06320073468279457,0.9496066597587385,0.0005769943180825302,-1.994529859381895e-05,-1.679204764840406e-05,0.8118748316187665,策略相对市场基准存在超额，但暂不能区分选股能力与风格暴露。,0.0005,0.0003,0.001
full,slip_0.0010,net_ret,2010-07-01,2026-08-17,3918,5.460323142390231,3.0241314230911236,0.876866525129345,2.1472648979617786,-0.7080461296881073,0.06715590173787231,11.228177641653906,2.4361917192991074,1.2151576735263434,0.22430596029474653,-1.7913235762388091,0.07324138491314326,-1.7726631629929372,0.07628453857643175,0.00022051363666907223,-0.00032213727375575386,-0.0003160950256141174,0.4955068544604064,相对沪深300或未入选等权未同时达到显著正超额。,0.001,0.0003,0.001
train,slip_0.0010,net_ret,2010-07-01,2020-12-31,2556,1.89076258768337,1.092696880476863,1.0630015941753053,0.02969528630155782,-0.7080461296881073,0.07026397188704676,8.786776212832551,0.7980657072065069,0.18085220869653673,0.8564835821037494,-1.9897996050777167,0.04661301496719388,-1.9642984891698014,0.04949548680528802,4.689640949681739e-05,-0.000466826011916047,-0.0004592443216064711,0.4082575055106292,相对沪深300或未入选等权未同时达到显著正超额。,0.001,0.0003,0.001
test,slip_0.0010,net_ret,2021-01-04,2026-08-17,1362,1.2033378494590727,0.8962091739697253,-0.09997118106984582,0.9961803550395711,-0.2357469194771421,0.061323135731051574,15.809838472834068,0.3071286754893474,1.9589097625668614,0.05012335552778588,-0.17261444310665175,0.8629544983611297,-0.1785980384294188,0.8582533348318705,0.0005463327502170044,-5.0606866459344766e-05,-4.745361551392978e-05,0.768493081729207,相对沪深300或未入选等权未同时达到显著正超额。,0.001,0.0003,0.001
full,slip_0.0020,net_ret,2010-07-01,2026-08-17,3918,5.460323142390231,2.0930934953151716,0.876866525129345,1.2162269701858266,-0.7109171885785857,0.06715590173787231,11.228177641653906,3.3672296470750593,0.8389618466981386,0.4014907199967713,-2.15941400065111,0.03081806267254939,-2.1480217279195872,0.03171202941838094,0.00015335773493119992,-0.0003892931754936262,-0.00038325092735198987,0.424545262512937,相对沪深300或未入选等权未同时达到显著正超额。,0.002,0.0003,0.001
train,slip_0.0020,net_ret,2010-07-01,2020-12-31,2556,1.89076258768337,0.7486337732134327,1.0630015941753053,-0.31436782096187255,-0.7109171885785857,0.07026397188704676,8.786776212832551,1.1421288144699373,-0.12402759322378694,0.9012934275052426,-2.284205679989574,0.02235944591739005,-2.2632197421059104,0.023622146824537275,-2.3367562390229382e-05,-0.0005370899838030937,-0.0005295082934935178,0.3414911145136798,相对沪深300或未入选等权未同时达到显著正超额。,0.002,0.0003,0.001
test,slip_0.0020,net_ret,2021-01-04,2026-08-17,1362,1.2033378494590727,0.7444546435436472,-0.09997118106984582,0.844425824613493,-0.24804761060053981,0.061323135731051574,15.809838472834068,0.45888320591542553,1.738143096234506,0.08218560279404928,-0.3959685376232813,0.6921282385960139,-0.4093130396286143,0.6823099474124933,0.00048500961448595285,-0.00011193000219039635,-0.00010877675124498141,0.6816450532050488,相对沪深300或未入选等权未同时达到显著正超额。,0.002,0.0003,0.001
full,zero_cost,gross_ret,2010-07-01,2026-08-17,3918,5.460323142390231,5.460323142390231,0.876866525129345,4.583456617260886,-0.7028092892059687,0.06715590173787231,11.228177641653906,0.0,1.8922740399337357,0.0584544779221456,-1.1272520901804421,0.2596359123783474,-1.0954469260231856,0.27332088527168863,0.0003413942597972424,-0.00020125665062758374,-0.00019521440248594733,0.6231007363124182,相对沪深300或未入选等权未同时达到显著正超额。,0.0,0.0,0.0
train,zero_cost,gross_ret,2010-07-01,2020-12-31,2556,1.89076258768337,1.89076258768337,1.0630015941753053,0.8277609935080648,-0.7028092892059687,0.07026397188704676,8.786776212832551,0.0,0.7299736599809523,0.4654062852201889,-1.4580636353758958,0.14482300361561706,-1.42438553940278,0.1543348979037303,0.00017337155889350143,-0.0003403508625193629,-0.000332769172209787,0.5283004134369598,相对沪深300或未入选等权未同时达到显著正超额。,0.0,0.0,0.0
test,zero_cost,gross_ret,2021-01-04,2026-08-17,1362,1.2033378494590727,1.2033378494590727,-0.09997118106984582,1.3033090305289186,-0.22356169041374696,0.061323135731051574,15.809838472834068,0.0,2.3563028741260035,0.01845786132663287,0.22961956809531842,0.8183873999818649,0.23690140601434778,0.8127332791927171,0.0006567143945328972,5.9774777856548054e-05,6.292802880196304e-05,0.9247724178791891,策略相对市场基准存在超额，但暂不能区分选股能力与风格暴露。,0.0,0.0,0.0
