sample,label,ret_col,start,end,n,gross_return,net_return,hs300_return,excess_hs300,max_drawdown,avg_turnover,avg_hold,cost_drag,t_vs_hs300,p_vs_hs300,t_vs_unselected,p_vs_unselected,t_vs_uni,p_vs_uni,mean_daily_vs_hs300,mean_daily_vs_unselected,mean_daily_vs_uni,sharpe_net,verdict_style,satellite,core
full,core_50%_sat_50%,net_ret,2010-07-01,2026-08-17,3918,2.4357211072732388,2.123266030815277,0.876866525129345,1.246399505685932,-0.5463142739656135,0.018798878120271676,19.211077080142932,0.31245507645796167,1.8726529427262875,0.06111632541215733,-4.464931142367039,8.009450685915956e-06,-4.7233085972935465,2.320383398798396e-06,0.00013235720314482108,-0.00041224393315408944,-0.0004042514591383686,0.4465611667438475,相对沪深300或未入选等权未同时达到显著正超额。,0.5,0.5
train,core_50%_sat_50%,net_ret,2010-07-01,2020-12-31,2556,1.7257281882571789,1.5521136734867627,1.0630015941753053,0.4891120793114574,-0.5463142739656135,0.019930971238411647,15.802034428794991,0.17361451477041623,0.9598017570718055,0.3371549978498103,-3.582395247469016,0.0003404581542001948,-3.7101474942950468,0.00020713853265767046,8.929771993556079e-05,-0.0004302978162417061,-0.00041684301116772757,0.5103813862730516,相对沪深300或未入选等权未同时达到显著正超额。,0.5,0.5
test,core_50%_sat_50%,net_ret,2021-01-04,2026-08-17,1362,0.24471060372171216,0.20848703415821435,-0.09997118106984582,0.30845821522806016,-0.33108123242069776,0.01667433332587684,25.608663729809106,0.036223569563497815,1.9705740432911574,0.04877261803851298,-2.6681936176024084,0.0076260296845931655,-2.99294946466832,0.0027629549516437228,0.0002131648676696885,-0.00037836307766807715,-0.00038062149806124566,0.30041175686749455,策略相对市场基准存在超额，但暂不能区分选股能力与风格暴露。,0.5,0.5
enhance,core_50%_sat_50%,net_ret,2024-09-02,2026-08-17,473,0.4238827380475121,0.4121316148325651,0.4520925350634355,-0.03996092023087039,-0.14332509224935208,0.013482848972247797,37.141649048625794,0.011751123214946979,-0.5107851682778723,0.609501495829808,-1.771758760220205,0.07643461095182015,-1.7551302368242916,0.07923703339498489,-4.817290487282963e-05,-0.0004040230739238242,-0.0003700031630541172,1.0109814909489978,相对沪深300或未入选等权未同时达到显著正超额。,0.5,0.5
full,core_70%_sat_30%,net_ret,2010-07-01,2026-08-17,3918,1.7220512228097729,1.570704072670443,0.876866525129345,0.693837547541098,-0.5132501096376332,0.011279326872163004,19.211077080142932,0.15134715013932976,1.872652942726288,0.061116325412157294,-5.926379378252788,3.0968667061136146e-09,-6.355266091647502,2.080661336584666e-10,7.941432188689266e-05,-0.0004651868144120178,-0.0004571943403962971,0.38978774061956506,相对沪深300或未入选等权未同时达到显著正超额。,0.3,0.7
train,core_70%_sat_30%,net_ret,2010-07-01,2020-12-31,2556,1.4540625372803837,1.359056110305978,1.0630015941753053,0.2960545161306727,-0.5132501096376332,0.011958582743046989,15.802034428794991,0.09500642697440576,0.9598017570718055,0.3371549978498103,-4.541480934771713,5.586043830787771e-06,-4.789347649655541,1.6732437794828672e-06,5.3578631961336486e-05,-0.0004660169042159305,-0.00045256209914195186,0.48025599908090627,相对沪深300或未入选等权未同时达到显著正超额。,0.3,0.7
test,core_70%_sat_30%,net_ret,2021-01-04,2026-08-17,1362,0.09612315187740417,0.07686806523033107,-0.09997118106984582,0.1768392463001769,-0.34988274914105755,0.010004599995526105,25.608663729809106,0.019255086647073094,1.9705740432911567,0.04877261803851309,-3.899292616048005,9.647412743527086e-05,-4.365471635778517,1.2684876232977991e-05,0.00012789892060181303,-0.00046362902473595256,-0.00046588744512912107,0.1783446177561578,策略相对市场基准存在超额，但暂不能区分选股能力与风格暴露。,0.3,0.7
enhance,core_70%_sat_30%,net_ret,2024-09-02,2026-08-17,473,0.435703069846628,0.4285815006625362,0.4520925350634355,-0.0235110344008993,-0.1485958891932826,0.008089709383348678,37.141649048625794,0.007121569184091792,-0.5107851682778728,0.6095014958298077,-1.9021261550212618,0.05715466387068446,-1.912202781915425,0.05585018944176281,-2.8903742923697812e-05,-0.0003847539119746923,-0.0003507340011049853,1.0275114517597026,相对沪深300或未入选等权未同时达到显著正超额。,0.3,0.7
full,core_80%_sat_20%,net_ret,2010-07-01,2026-08-17,3918,1.4119993189480904,1.3217460929038949,0.876866525129345,0.44487956777454984,-0.4965003990409097,0.007519551248108672,19.211077080142932,0.0902532260441955,1.8726529427262886,0.061116325412157155,-6.597767475998878,4.1739520978979425e-11,-7.066379820968965,1.5902777138817835e-12,5.294288125792845e-05,-0.000491658255040982,-0.00048366578102526127,0.3585127242927591,相对沪深300或未入选等权未同时达到显著正超额。,0.2,0.8
train,core_80%_sat_20%,net_ret,2010-07-01,2020-12-31,2556,1.321062315540218,1.2607676168495376,1.0630015941753053,0.19776602267423238,-0.4965003990409097,0.007972388495364661,15.802034428794991,0.06029469869068027,0.959801757071806,0.33715499784981,-4.955308156312724,7.221574449054337e-07,-5.239321954539786,1.611676530539593e-07,3.5719087974224336e-05,-0.0004838764482030426,-0.00047042164312906395,0.46201896069397136,相对沪深300或未入选等权未同时达到显著正超额。,0.2,0.8
