sample,hold_n,n_events,n_complete,mean_ret,median_ret,mean_mfe,median_mfe,mean_mae,median_mae,win_rate,beat_hs300,mean_excess_hs300,median_excess_hs300,t_excess_hs300,p_excess_hs300,mean_excess_unselected,t_excess_unselected,p_excess_unselected,mean_hs300_ret,mean_uni_ew_ret,mean_unselected_ew_ret,mean_excess_mfe,mean_hs300_mfe,mean_hs300_mae,mean_excess_mae,start,end,note
wf_train_to_2014,20,157,157,0.01366399758111461,-0.003483146067415732,0.08176046246811072,0.05290456431535273,-0.05699854941429062,-0.04849726775956287,0.4585987261146497,0.3885350318471338,-0.012585913437349907,-0.012160118091812722,-1.6406580028310422,0.10086842736078705,-0.015029887468066045,-2.029306532479114,0.04242707836829632,0.02624991101846452,0.028511447690014506,0.02869388504918065,0.017819014401972106,0.06394144806613862,-0.04330557831439902,-0.013692971099891597,2010-09-27,2014-12-22,持有期超额 = 个股(exit_close/entry_open-1) − 沪深300(exit_close/entry_open-1)。MFE/MAE 是路径极值，不与持有期超额混用。事件窗口重叠，t 统计量为描述性，不是独立样本。
wf_test_2015,20,41,41,0.02024877413076645,0.07494322482967442,0.17702543023660708,0.14761544284632833,-0.1302617164545219,-0.032710280373831835,0.5609756097560976,0.36585365853658536,-0.014558934440831232,-0.042090126265443395,-0.7980593905151466,0.42483602603667026,-0.03748657792364057,-2.0493266741090834,0.04043018203356188,0.03480770857159768,0.057074655419131363,0.05773535205440701,0.06073337551804613,0.11629205471856094,-0.09518260883281228,-0.03507910762170961,2015-01-07,2015-12-30,持有期超额 = 个股(exit_close/entry_open-1) − 沪深300(exit_close/entry_open-1)。MFE/MAE 是路径极值，不与持有期超额混用。事件窗口重叠，t 统计量为描述性，不是独立样本。
wf_train_to_2015,20,198,198,0.015027511917153624,-0.0018400723874348324,0.10148704670300138,0.06007103796310953,-0.07216920521555063,-0.04837144089732531,0.4797979797979798,0.3838383838383838,-0.01299446829160614,-0.015816772389836975,-1.820536914988539,0.06867727990259109,-0.019680010239169855,-2.813375537680322,0.004902436037053181,0.028021980208759772,0.03442605131069022,0.03470752215632348,0.026705321501765213,0.07478172520123616,-0.05404779170457551,-0.018121413510975126,2010-09-27,2015-12-30,持有期超额 = 个股(exit_close/entry_open-1) − 沪深300(exit_close/entry_open-1)。MFE/MAE 是路径极值，不与持有期超额混用。事件窗口重叠，t 统计量为描述性，不是独立样本。
wf_test_2016,20,45,45,0.029212434607532495,0.02122347066167296,0.08393750456290579,0.06117353308364537,-0.04614144498532436,-0.031849707090431556,0.6222222222222222,0.5777777777777777,0.02435731072589173,0.009609953840790886,1.9093450781770747,0.056217590750963116,0.011715937777586375,0.9314955546967697,0.35159728299572984,0.004855123881640772,0.017536025204017636,0.017496496829946133,0.05628991530147687,0.027647589261428938,-0.028552060924866465,-0.01758938406045789,2016-04-27,2016-12-30,持有期超额 = 个股(exit_close/entry_open-1) − 沪深300(exit_close/entry_open-1)。MFE/MAE 是路径极值，不与持有期超额混用。事件窗口重叠，t 统计量为描述性，不是独立样本。
wf_train_to_2016,20,243,243,0.017654349452408975,0.0011210762331839152,0.09823713149187258,0.06067415730337089,-0.06734924961736057,-0.04535204209471311,0.5061728395061729,0.41975308641975306,-0.006077472177254684,-0.00915704207103507,-0.9592268836142865,0.33744446005124273,-0.013865945791622406,-2.2376719882478073,0.02524245324784195,0.023731821629663658,0.03129826869834344,0.03152029524403138,0.0321839499831933,0.06605318150867927,-0.04932636007870346,-0.018022889538657112,2010-09-27,2016-12-30,持有期超额 = 个股(exit_close/entry_open-1) − 沪深300(exit_close/entry_open-1)。MFE/MAE 是路径极值，不与持有期超额混用。事件窗口重叠，t 统计量为描述性，不是独立样本。
wf_test_2017,20,114,114,0.010590519045474919,-0.0021785140855349328,0.07620152332204799,0.05605477404198056,-0.054278599233056495,-0.04410897409024783,0.49122807017543857,0.42105263157894735,-0.00561260983318571,-0.013704047609593373,-0.7656017651507924,0.4439132938693872,-0.006215563888350182,-0.8649362868420817,0.3870737596351216,0.016203128878660628,0.01662590434093415,0.016806082933825097,0.03784592133621897,0.038355601985829026,-0.016756463645385702,-0.037522135587670785,2017-01-09,2017-12-29,持有期超额 = 个股(exit_close/entry_open-1) − 沪深300(exit_close/entry_open-1)。MFE/MAE 是路径极值，不与持有期超额混用。事件窗口重叠，t 统计量为描述性，不是独立样本。
wf_train_to_2017,20,357,357,0.015398672515740957,8.347733393421208e-08,0.09120055073176052,0.05927342256214141,-0.06317542848623826,-0.0445021011859601,0.5014005602240896,0.42016806722689076,-0.0059290287396528245,-0.01170514589228322,-1.209714137676957,0.22638860303842742,-0.01142296669645985,-2.3799478901453948,0.017315086426517492,0.02132770125539378,0.02661297587833039,0.026821639212200803,0.03399197444886536,0.057208576282895156,-0.03892588894873644,-0.02424953953750182,2010-09-27,2017-12-29,持有期超额 = 个股(exit_close/entry_open-1) − 沪深300(exit_close/entry_open-1)。MFE/MAE 是路径极值，不与持有期超额混用。事件窗口重叠，t 统计量为描述性，不是独立样本。
wf_test_2018,20,13,13,-0.018535045125628355,-0.016483516483516425,0.07552334239287808,0.06280193236714982,-0.053248542522417654,-0.03590347263095928,0.3076923076923077,0.6153846153846154,0.005013772153408839,0.005714369097190364,0.2898129372526719,0.7719593499361311,0.003950360256231,0.24160586393321504,0.8090855779246932,-0.023548817279037196,-0.02239507572273464,-0.022485405381859353,0.04813270076580625,0.02739064162707184,-0.05009403776768377,-0.0031545047547338802,2018-01-02,2018-12-03,持有期超额 = 个股(exit_close/entry_open-1) − 沪深300(exit_close/entry_open-1)。MFE/MAE 是路径极值，不与持有期超额混用。事件窗口重叠，t 统计量为描述性，不是独立样本。
wf_train_to_2018,20,370,370,0.014206406760773928,0.0,0.09064972989823222,0.05936972098980853,-0.06282664600642834,-0.04392466192568539,0.4945945945945946,0.42702702702702705,-0.005544551951518225,-0.010152929052216209,-1.1633748188252941,0.244677461615494,-0.01088282277650044,-2.3323679692664023,0.01968134165069618,0.019750958712292155,0.024891071362617295,0.02508922953727437,0.03448881077892004,0.05616091911931218,-0.03931828336669946,-0.023508362639728893,2010-09-27,2018-12-03,持有期超额 = 个股(exit_close/entry_open-1) − 沪深300(exit_close/entry_open-1)。MFE/MAE 是路径极值，不与持有期超额混用。事件窗口重叠，t 统计量为描述性，不是独立样本。
wf_test_2019,20,86,86,0.03814400017559129,0.027966227225596274,0.09867566355603938,0.0763310481110081,-0.05167220511283844,-0.04505175178923421,0.6162790697674418,0.5813953488372093,0.027690405911646954,0.00821952867005682,2.786188255207694,0.005333188891792598,0.010082643839691492,1.014372234247888,0.31040516802254564,0.010453594263944333,0.028124747524349705,0.02806135633589979,0.050690874344003725,0.04798478921203567,-0.032374227822954516,-0.01929797728988393,2019-01-31,2019-12-31,持有期超额 = 个股(exit_close/entry_open-1) − 沪深300(exit_close/entry_open-1)。MFE/MAE 是路径极值，不与持有期超额混用。事件窗口重叠，t 统计量为描述性，不是独立样本。
