,nav_long,nav_rest,nav_hs300,rel_vs_rest_pct,rel_vs_hs300_pct
2024-09-02,1.0,1.0,1.0,0.0,0.0
2024-09-03,0.9971698683434227,1.0047795772063832,1.002578000502908,-0.7573510683923312,-0.5394225842550338
2024-09-04,0.993038662343296,0.9977603789900023,0.9960655262723466,-0.4732315239342255,-0.30388200868454174
2024-09-05,0.989259236973977,1.0008291793258721,0.9977785067186603,-1.1560356743084088,-0.8538237381661151
2024-09-06,0.9832928637649093,0.9903691609020071,0.9896890699602543,-0.7145110547114419,-0.6462844129017098
2024-09-09,0.9699471910528616,0.980510704335077,0.9779298140190034,-1.0773480835559957,-0.8162776972035934
2024-09-10,0.9667089095987467,0.9828188924177719,0.9787884941275848,-1.6391608813495662,-1.234136343174419
2024-09-11,0.957590819166153,0.9809765700824038,0.9758404795573429,-2.383925531910147,-1.8701479159245582
2024-09-12,0.9521163129077038,0.9772519012316104,0.9716581965573775,-2.5720685006832666,-2.0111890908666608
2024-09-13,0.9581810647938753,0.9729370095543994,0.9676068472663644,-1.5166392701293385,-0.974133502580965
2024-09-18,0.9645410176067581,0.9762155866812644,0.9712096528924403,-1.1959007040847403,-0.6866318992837184
2024-09-19,0.9648678546564633,0.9856491653784355,0.9788744050173181,-2.1083882026109446,-1.4308832970872376
2024-09-20,0.9650539672374356,0.9871950407542733,0.9804100813136614,-2.2428266556040133,-1.566294999297635
2024-09-23,0.9710011936954887,0.9884516274193184,0.9839978793333312,-1.765431229992498,-1.320804232489592
2024-09-24,1.0053179263168437,1.0295273305935975,1.0266149179895563,-2.351506711608642,-2.074486869372494
2024-09-25,1.0213469404313598,1.0421278086738937,1.041813641669201,-1.994080579135249,-1.9645261320488494
2024-09-26,1.062002444791691,1.0838479876013318,1.0858525132074592,-2.015554123783292,-2.1964371888147594
2024-09-27,1.0813375292634435,1.1380429971946826,1.1343560251404972,-4.982717530973801,-4.673884979848985
2024-09-30,1.168438223743011,1.2476423723531698,1.230579161907877,-6.34830544114755,-5.049731060659535
2024-10-08,1.2161439267158065,1.3345059262446188,1.3035472774823726,-8.869349862078934,-6.705038802687236
2024-10-09,1.147323140775254,1.2404824925218052,1.2116295779707937,-7.509928782401875,-5.307433754071811
2024-10-10,1.1723052615857086,1.247891869124592,1.224433210179077,-6.057144004945558,-4.257312539386648
2024-10-11,1.1475173755884132,1.2098327306621588,1.1905524973729027,-5.150741378904467,-3.614718534415884
2024-10-14,1.178117999610881,1.2363211403104788,1.213270766928503,-4.7077687828731225,-2.8973555018237285
2024-10-15,1.1544834748027384,1.2053407011369446,1.1810051788493205,-4.219323738610569,-2.24568905552327
2024-10-16,1.1662896074700462,1.1963670370390884,1.1735301963760607,-2.5140637143832967,-0.6169921258416644
2024-10-17,1.1548645549535765,1.1869329114037845,1.1602477602678822,-2.7017834068044144,-0.46397032587788267
2024-10-18,1.1678792156859459,1.2336488268643733,1.2022115698844502,-5.33130739852421,-2.8557664107162206
2024-10-21,1.1604277380506915,1.2438031814943584,1.205263136938895,-6.703266616788683,-3.71996765802326
2024-10-22,1.1580996258098848,1.252145649830359,1.2121783050654342,-7.510789502260817,-4.4612809047618
2024-10-23,1.1682501036125774,1.2567974426191881,1.2169052110391048,-7.045474155491316,-3.9982660099697642
2024-10-24,1.1571340872832838,1.2446510968007427,1.2033139857721762,-7.031449194269223,-3.837726398505903
2024-10-25,1.1653374279892033,1.2551426900614553,1.2117634519454905,-7.154984272573417,-3.8312777862502867
2024-10-28,1.1540245202241943,1.2604497434637525,1.2141327854638155,-8.443432496332504,-4.950715931508187
2024-10-29,1.1438794792393083,1.2481551314921435,1.2020323974406204,-8.354382369776092,-4.83788276631577
2024-10-30,1.1431706821647698,1.2409840503086116,1.1912513311593735,-7.881919845747998,-4.036146507203453
2024-10-31,1.123131380177282,1.24560591374364,1.191738588323285,-9.832526661523588,-5.756900784972463
2024-11-01,1.1366709396825818,1.2402584750167347,1.1914263994822674,-8.352092521097687,-4.595790375593445
2024-11-04,1.145593168817039,1.2603637724430137,1.2081925298260854,-9.106149044851563,-5.181240527787178
2024-11-05,1.156876606816676,1.2966164528032333,1.2387622890091325,-10.77726922903418,-6.610282127489986
2024-11-06,1.1445929196493114,1.2974815026871844,1.2325480986128368,-11.783488452145862,-7.136044350927473
2024-11-07,1.1881318321996508,1.330623059921333,1.2697339151384166,-10.708609523880208,-6.426707357018979
2024-11-08,1.1616209838696194,1.3250957433270414,1.256978000992951,-12.336826246756383,-7.586212093449863
2024-11-11,1.151379803474134,1.3404974903678522,1.2652732869812677,-14.108022450815739,-9.001492774645126
2024-11-12,1.1213365516544613,1.325506833801548,1.251371894306021,-15.403185931643016,-10.391422665256034
2024-11-13,1.1379964819896546,1.3355988469717532,1.2590738897970009,-14.795038602356458,-9.616386201676175
2024-11-14,1.1324101211279394,1.3062660535187396,1.2372451731403036,-13.30938149410511,-8.4732641749798
2024-11-15,1.135022890769379,1.281351548389768,1.2155642967205917,-11.419868170001857,-6.625844981503759
2024-11-18,1.1317794211612333,1.2684226193590036,1.2099134122365884,-10.772686966653334,-6.457816756566103
2024-11-19,1.1114767016233345,1.2826944561898523,1.2180330173466476,-13.348288342580616,-8.748228841565764
2024-11-20,1.124283176603426,1.289508345883598,1.2207532225771967,-12.81303605421462,-7.902501848007216
2024-11-21,1.116302383478194,1.290087502853918,1.2218329126609362,-13.470800933369132,-8.637067154535504
2024-11-22,1.091883327216072,1.2492431171908243,1.183977297473116,-12.596410403173374,-7.778356092941485
2024-11-25,1.0927563656450083,1.2435591003250963,1.1785843600526908,-12.126704282945976,-7.282295380522907
2024-11-26,1.1042073158134884,1.239475711171088,1.176162867445162,-10.913355876073961,-6.117822082580626
2024-11-27,1.1129356536742847,1.265543416753434,1.1966405932476174,-12.058674641968603,-6.994994156613233
2024-11-28,1.1062086638192135,1.2550117213960552,1.1860757896374612,-11.856706598032051,-6.73372869727491
2024-11-29,1.1047018900985959,1.2723689356432366,1.1995620229150825,-13.177549439296698,-7.907897299546452
2024-12-02,1.1044208680399439,1.2878341556921664,1.2090715774005039,-14.241995899980164,-8.655460215644005
2024-12-03,1.1159556877054508,1.2877719046531975,1.210376075302655,-13.34213119007418,-7.800913247033092
2024-12-04,1.115878719904058,1.278804461199219,1.2038418247289202,-12.740473327906198,-7.306865654436756
2024-12-05,1.1021404851460344,1.2796715612080742,1.2010949120845218,-13.87317507426996,-8.238685048357276
2024-12-06,1.1087559011577983,1.2942516623747038,1.2168842616456716,-14.332279154778627,-8.885673345930556
2024-12-09,1.1104872635385576,1.2909707916524762,1.2148721091598147,-13.980450160525704,-8.592249738406444
2024-12-10,1.1145552611103984,1.2975059930446478,1.2237744068856111,-14.100183961767176,-8.924777733599198
2024-12-11,1.1083492881470718,1.3001993973305754,1.2216898503557863,-14.755437479619582,-9.277359730516455
2024-12-12,1.1196741527204663,1.3103855464956842,1.2338411111019216,-14.553838317679125,-9.252970852907861
2024-12-13,1.108726755563924,1.2833114442172266,1.2046454973658578,-13.604233753233064,-7.962404044316351
2024-12-16,1.1235608359432578,1.27443053538012,1.1981097766592508,-11.838205005960777,-6.222212869663868
2024-12-17,1.1210780435917396,1.2727109640776622,1.2012312975362094,-11.91416784845658,-6.6725912077772565
2024-12-18,1.1310429025414845,1.2794076665205092,1.2073129309518396,-11.59636352520218,-6.317337158827918
2024-12-19,1.1317601200651561,1.2847296439777256,1.208407414247608,-11.9067482119391,-6.342835477401875
2024-12-20,1.1210197596115503,1.2830722598650481,1.2029803574934348,-12.630036929528998,-6.813128524613655
2024-12-23,1.135864640059178,1.2787547095494873,1.2047652519394259,-11.174157828959252,-5.719007231436324
2024-12-24,1.1452088104275162,1.2947653657707645,1.220114786749569,-11.550861592147887,-6.139256497464885
2024-12-25,1.1589288753159162,1.2933944052181157,1.2207092411020966,-10.396328402203302,-5.061022207909483
2024-12-26,1.152956380607275,1.3002315293153814,1.2212761610910339,-11.326840288640916,-5.5941303580940405
2024-12-27,1.148561228086008,1.2980296621553513,1.2193008538102925,-11.51502453504445,-5.801654735435024
2024-12-30,1.1624817690489873,1.3005038044648094,1.224821264001866,-10.612966678142222,-5.0896809832641665
2024-12-31,1.1485997738302292,1.2748385684488166,1.2051753883830703,-9.902335695113996,-4.694388476414712
2025-01-02,1.1151351930440474,1.234385121996968,1.1701017852619784,-9.66067451947249,-4.697590663501494
2025-01-03,1.1090321563827903,1.215838163542634,1.1562487232049132,-8.784557876406762,-4.083599477735822
2025-01-06,1.1073332527051563,1.214297559650972,1.1543513023386436,-8.808739348579497,-4.073114444297133
2025-01-07,1.1100537155574504,1.2281133035109029,1.162662392255339,-9.613085992631653,-4.524845479506567
2025-01-08,1.1207739123440208,1.2265690075830147,1.160552077772478,-8.625286843621282,-3.427520935105821
2025-01-09,1.1206309367539713,1.2256210614895728,1.1576920567802058,-8.566279418207824,-3.2012934535725845
2025-01-10,1.0999771025572889,1.207441226502217,1.1431755053811445,-8.900153612961859,-3.7788075952041145
2025-01-13,1.0846453583723692,1.206006098987174,1.1401226519604364,-10.063028762186665,-4.8659057420422425
2025-01-14,1.1104810876903064,1.2428027048391583,1.170145981131456,-10.647033244587023,-5.098927347804716
2025-01-15,1.1125144322061753,1.2325723127710093,1.162638043179639,-9.740433021323158,-4.3111965299521104
2025-01-16,1.1217110564227875,1.2371865355647609,1.1639726788056755,-9.333716123030733,-3.6308087940905676
2025-01-17,1.1202103855025376,1.243953374041736,1.1676355454851444,-9.947558415083058,-4.0616406519982995
2025-01-20,1.1143960179724328,1.2470805386887882,1.1729444096819264,-10.6396112039294,-4.991574300215174
2025-01-21,1.1206149044818734,1.2487774030383303,1.1738442841387047,-10.263037931710794,-4.534620168627201
2025-01-22,1.0969903368156853,1.243482809611698,1.16294144185119,-11.780820101707556,-5.671059836901393
2025-01-23,1.0870649354914366,1.2451151883923786,1.1650018636996924,-12.69362500549105,-6.689854380211191
2025-01-24,1.086787800416841,1.2567265919169106,1.1739206085369993,-13.522335931545658,-7.422376563330612
2025-01-27,1.0813286824308899,1.24938874464502,1.1690864747469447,-13.451382760926013,-7.506527037279298
2025-02-05,1.056390226531319,1.2459673117087606,1.1623497746255669,-15.215253513950488,-9.115977858590895
2025-02-06,1.0526642760363714,1.267008498581906,1.1769734925854756,-16.917346867478667,-10.561768581213515
2025-02-07,1.0532830773954258,1.2844162024701837,1.1922479893635876,-17.995189147430846,-11.65570529016703
2025-02-10,1.0651823506456766,1.2893847299808354,1.1948081645054172,-17.388322827314017,-10.849090064043743
2025-02-11,1.0583089751735153,1.2848160662342334,1.1893176470155835,-17.629534453488372,-11.015448410339745
2025-02-12,1.0642428625605762,1.2974562497243776,1.2005661542947321,-17.974662900066463,-11.35491711527038
2025-02-13,1.060288831464752,1.2887707237779402,1.1960571648916336,-17.728668730416974,-11.351324787154516
2025-02-14,1.0703571396115645,1.298153065994058,1.2064303918118493,-17.5476939006464,-11.278997373062394
2025-02-17,1.0777256978376093,1.303109434400611,1.209000000306277,-17.295841056255657,-10.858089531465009
2025-02-18,1.0826972477397117,1.2856493001914073,1.1983980758410917,-15.785957525234927,-9.654623987957912
