date,open,high,low,close,volume,l2jbl,主力净额,净流入额,env_level,env_score,env_ok,accum,accum_ok,accum_score,f_signal,washout,washout_turn,launch_raw,launch_turn,dist_score,caution,reduce_trend,reduce_band,escape_top,take_profit,l2_flow,l2_flow_raw,l2_strong,l2_source,position,ui_state,state,label,entry_ok,exit_ok
2010-01-04,3592.468,3597.748,3535.229,3535.229,6610108000,-0.011617775938910184,-28790.390000000007,-66517.42,2,25,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-0.05808887969455092,-0.011617775938910184,0,moneyflow,0.0,0,0,watch,0,0
2010-01-05,3545.186,3577.526,3497.661,3564.038,8580964100,0.031023798950749193,77608.33000000007,111234.2,2,25,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.15511899475374596,0.031023798950749193,0,moneyflow,0.0,0,0,watch,0,0
2010-01-06,3558.7,3588.832,3541.173,3541.727,7847312500,-0.03834829321895334,-94653.99,-44557.67,2,25,1,0.0,0,0.0,0,0,0,0,0,20,0,0,0,0,0,-0.1917414660947667,-0.03834829321895334,0,moneyflow,0.0,0,0,watch,0,0
2010-01-07,3543.16,3558.556,3452.769,3471.456,8035003700,-0.05455765800219101,-131781.79,-136103.52,2,25,1,0.0,0,0.0,0,0,0,0,0,30,0,0,0,0,0,-0.27278829001095506,-0.05455765800219101,0,moneyflow,0.0,0,0,watch,0,0
2010-01-08,3456.908,3482.083,3426.698,3480.13,6079025300,-0.03139597608550972,-76021.46,-62739.92,2,25,1,0.0,0,0.0,0,0,0,0,0,20,0,0,0,0,0,-0.15697988042754862,-0.03139597608550972,0,moneyflow,0.0,0,0,watch,0,0
2010-01-11,3593.106,3594.528,3465.317,3482.052,8998017200,-0.06524575392236406,-159533.51,-178985.28,2,25,1,0.0,0,0.0,0,0,0,0,0,35,0,0,0,0,0,-0.32622876961182035,-0.06524575392236406,0,moneyflow,0.0,0,0,watch,0,0
2010-01-12,3477.842,3535.407,3437.661,3534.916,9374327800,-0.04264604274292301,-105089.32000000002,-74022.1,2,25,1,0.0,0,0.0,0,0,0,0,0,30,0,0,0,0,0,-0.21323021371461504,-0.04264604274292301,0,moneyflow,0.0,0,0,watch,0,0
2010-01-13,3448.291,3490.112,3415.693,3421.144,11245790100,-0.18845445110320339,-442773.27999999997,-236312.06,2,25,1,0.0,0,0.0,0,0,0,0,0,40,0,0,0,0,0,-0.9422722555160169,-0.18845445110320339,0,moneyflow,0.0,0,0,watch,0,0
2010-01-14,3433.472,3470.323,3411.812,3469.051,8335325200,-0.05257421301254539,-124343.12000000001,-62815.25,2,25,1,0.0,0,0.0,0,0,0,0,0,30,0,0,0,0,0,-0.26287106506272695,-0.05257421301254539,0,moneyflow,0.0,0,0,watch,0,0
2010-01-15,3472.524,3500.072,3448.661,3482.738,7254310200,-0.03520100868292992,-83158.66,-73117.68,2,25,1,0.0,0,0.0,0,0,0,0,0,20,0,0,0,0,0,-0.1760050434146496,-0.03520100868292992,0,moneyflow,0.0,0,0,watch,0,0
2010-01-18,3471.777,3501.26,3458.042,3500.684,8285430700,-0.1260839206317539,-296422.14,-187899.95,2,25,1,0.0,0,0.0,0,0,0,0,0,40,0,0,0,0,0,-0.6304196031587694,-0.1260839206317539,0,moneyflow,0.0,0,0,watch,0,0
2010-01-19,3506.806,3528.39,3497.094,3507.482,7488323200,-0.04334076027752392,-101835.55000000002,-41496.86,2,25,1,0.0,0,0.0,0,0,0,0,0,30,0,0,0,0,0,-0.2167038013876196,-0.04334076027752392,0,moneyflow,0.0,0,0,watch,0,0
2010-01-20,3512.246,3515.449,3387.818,3394.434,9249514600,-0.14180129677832495,-314978.87,-267707.48,2,25,1,0.0,0,0.0,0,0,0,0,0,40,0,0,0,0,0,-0.7090064838916248,-0.14180129677832495,0,moneyflow,0.0,0,0,watch,0,0
2010-01-21,3397.043,3425.18,3364.723,3408.574,7059506800,-0.03302359241693039,-76596.60999999999,-40390.27,2,25,1,0.0,0,0.0,0,0,0,0,0,20,0,0,0,0,0,-0.16511796208465196,-0.03302359241693039,0,moneyflow,0.0,0,0,watch,0,0
