ts_code,name,action,position_hint,confidence,position,headline,signal_date,entry_date,entry_price,exit_date,exit_price,execution
600015.SH,华夏银行,持有,100%,信号,1.0,持有　仓位 100%,2026-07-02,2026-07-03,6.29256694,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
601009.SH,南京银行,持有,100%,信号,1.0,持有　仓位 100%,2025-09-23,2025-09-24,10.39008448,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
601088.SH,中国神华,持有,100%,信号,1.0,持有　仓位 100%,2026-05-14,2026-05-15,44.05358,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
601688.SH,华泰证券,持有,100%,信号,1.0,持有　仓位 100%,2026-08-13,2026-08-14,19.56,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
000333.SZ,美的集团,持有,100%,信号,1.0,持有　仓位 100%,2024-07-04,2024-07-05,58.246596,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600011.SH,华能国际,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600009.SH,上海机场,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600000.SH,浦发银行,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600019.SH,宝钢股份,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600016.SH,民生银行,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600010.SH,包钢股份,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600018.SH,上港集团,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600025.SH,华能水电,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600023.SH,浙能电力,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600029.SH,南方航空,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600026.SH,中远海能,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600030.SH,中信证券,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600027.SH,华电国际,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600031.SH,三一重工,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600028.SH,中国石化,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600036.SH,招商银行,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600048.SH,保利发展,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600050.SH,中国联通,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600039.SH,四川路桥,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600061.SH,国投资本,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600066.SH,宇通客车,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600085.SH,同仁堂,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600089.SH,特变电工,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600104.SH,上汽集团,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600115.SH,中国东航,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600111.SH,北方稀土,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600176.SH,中国巨石,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600160.SH,巨化股份,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600150.SH,中国船舶,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600118.SH,中国卫星,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600183.SH,生益科技,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600188.SH,兖矿能源,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600196.SH,复星医药,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600219.SH,南山铝业,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600221.SH,海航控股,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600233.SH,圆通速递,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600276.SH,恒瑞医药,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600309.SH,万华化学,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600346.SH,恒力石化,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600362.SH,江西铜业,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600372.SH,中航机载,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600406.SH,国电南瑞,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600436.SH,片仔癀,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600426.SH,华鲁恒升,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600415.SH,小商品城,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600438.SH,通威股份,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600460.SH,士兰微,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600489.SH,中金黄金,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600482.SH,中国动力,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600515.SH,海南机场,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600519.SH,贵州茅台,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600549.SH,厦门钨业,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600547.SH,山东黄金,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600522.SH,中天科技,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600570.SH,恒生电子,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600585.SH,海螺水泥,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600584.SH,长电科技,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600588.SH,用友网络,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600660.SH,福耀玻璃,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600600.SH,青岛啤酒,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600674.SH,川投能源,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600741.SH,华域汽车,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600690.SH,海尔智家,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600795.SH,国电电力,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600760.SH,中航沈飞,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600803.SH,新奥股份,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600845.SH,宝信软件,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600809.SH,山西汾酒,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600875.SH,东方电气,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600886.SH,国投电力,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600887.SH,伊利股份,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600930.SH,华电新能,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600893.SH,航发动力,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600905.SH,三峡能源,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600900.SH,长江电力,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600918.SH,中泰证券,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600919.SH,江苏银行,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600926.SH,杭州银行,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600938.SH,中国海油,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600941.SH,中国移动,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600958.SH,东方证券,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600989.SH,宝丰能源,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
